feature,mean,std
KRT16,6.021153231292518,3.3457971548972343
BPIL1,4.059118707482994,3.3030712229594363
VGLL1,3.562814455782313,3.232750064785059
KLK6,4.495203231292517,3.2446211767288364
MSLN,3.431948129251701,3.3228422573584013
KLK7,4.335268537414965,3.0444445796715556
KRT81,6.266462074829932,3.1440123803269944
SERPINA11,5.72554574829932,3.3827199914634565
FAM5C,2.3585243197278913,3.3832991064779154
SLC5A8,2.973443707482993,3.442197574671312
WIF1,2.4100091836734694,2.708542925596861
NLRP2,6.900707993197279,3.404471411574228
CBLN2,3.793396598639456,3.3141467566075873
SLC6A14,4.647590306122449,3.1929090880996993
CIDEA,3.033410544217687,2.739442664712861
KLK10,4.867570748299319,3.130565029163851
EEF1A2,8.70664217687075,3.2630294396348734
CA9,3.629665306122449,3.3448675203034215
PI16,4.844841836734694,2.8807720335942233
A2ML1,3.557916836734694,3.4099509921928557
ALB,3.634699319727891,2.7043646631506104
COL17A1,7.212793537414965,2.8783818872801556
MMP1,7.08743775510204,2.798301325710394
PTPRT,7.9724971088435375,3.273889139774597
LBP,4.471100850340137,3.4163944082464943
CALML3,5.219235544217687,3.066672181401575
PPP1R1B,8.602509353741496,3.21530530112985
SFRP1,9.425022108843539,2.934164194873933
MUC15,4.614617857142857,3.045350110357223
DCD,1.7995156462585038,3.2915072027293744
CYP4Z2P,6.192600340136055,3.2220650824742334
BEX1,3.702485884353742,3.195737661481527
C7,6.442254591836734,3.162810848349267
SCGB2A1,5.120544557823131,3.0970875602586263
S100P,8.086402210884353,2.961130648542569
NXPH1,2.658167006802721,3.1471088472834152
CNTNAP2,7.676259863945578,3.009693652158218
LRRC31,3.904474319727891,3.2553282248813242
PPP2R2C,7.082177891156463,3.148478606314413
SCGB3A1,3.804683163265306,2.9589941026168973
SLC6A4,4.010019897959183,3.189405105509276
ORM1,3.714232482993197,3.3550330792251777
KLHDC7A,6.24342074829932,3.1013572873678354
SLITRK6,7.916940646258504,3.241066648951873
RPS28,6.857721088435374,3.0964142456559736
PROL1,1.9814022108843536,2.6857004154565094
FOLR1,4.66923962585034,3.0012382581039674
CXCL13,6.842029421768707,2.898151026103985
C10orf82,4.075245918367347,3.20786918493057
FOXI1,5.749543027210885,3.089931744072274
SYT9,5.373202891156462,3.2167587389560235
DSC3,6.719433163265305,2.9108041844704307
ANKRD30B,5.160847108843537,3.202025449703009
ESR1,11.622573129251702,3.308215672120759
GRPR,5.815119727891156,3.180545176140942
MIA,4.606778911564626,3.026374614893967
PDZK1,6.413840476190477,3.1112504941401564
CST5,2.128300850340136,2.9999901586316637
IGSF1,4.479158673469388,3.054224971299919
PLA2G2A,5.0830190476190475,2.995415791278523
CDC20B,2.7403316326530613,3.1189053438879135
DLK1,1.7220343537414968,2.865065473791886
SERPINB5,6.626905782312924,3.029802843171118
CHAD,7.028397278911564,3.1536388824912427
CXCL17,5.885796938775511,3.166627661286995
ASCL1,2.299501360544218,3.045918986905935
DIO1,5.155445408163266,3.080875207733515
SAA2,5.734206972789116,2.7285166809356625
SORCS1,4.510191326530612,3.172522196358194
GLRA3,2.3563005102040817,2.9163393443093453
ROPN1,2.7954982993197284,2.887292430638412
SLC5A1,6.222795578231292,2.99960094636294
MAGEA6,1.6337462585034013,3.244597991774682
NBPF4,4.7368710884353735,3.0826271136764376
PTPRZ1,3.549466156462585,2.7870334779469954
