"feature","mean","median","sd","q025","q975","hr_mean","hr_q025","hr_q975","prob_positive","prob_negative","significant"
"OBP2B",0.174182187611886,0.16167260663255,0.140023274945895,-0.10652642296189,0.516667669787142,1.19027239895347,0.898951294891611,1.6764319067527,0.918833333333333,0.0811666666666667,FALSE
"TCN1",-0.170534878387797,-0.0895159724551563,0.170657613063707,-0.527243404415199,0.186126399915239,0.843213679182024,0.590229753946663,1.20457450887115,0.06725,0.93275,FALSE
"CYP4F8",0.163820993732294,0.17020399912657,0.170555036295469,-0.190541524114463,0.469930627191102,1.1780034262214,0.82651143686098,1.59988320097592,0.82625,0.17375,FALSE
"C4orf7",-0.16293262603067,-0.179159627166194,0.172753846493057,-0.409424340680923,0.206568517228754,0.84964843067356,0.664032396569943,1.2294519699731,0.186666666666667,0.813333333333333,FALSE
"CGA",-0.162294201629032,-0.113925421812583,0.230924785322679,-0.660147404776456,0.135163808729778,0.85019104015365,0.516775153751118,1.14472428482483,0.305583333333333,0.694416666666667,FALSE
"AQP5",-0.159437679813432,-0.151981060362444,0.187260916464538,-0.507755323878639,0.171071103681852,0.852623101371496,0.601845010851346,1.18657511588181,0.212,0.788,FALSE
"LTF",0.155853431849112,0.154884553298194,0.194573734307593,-0.236006087588702,0.499482351290533,1.16865490294845,0.789775866087529,1.6478680331198,0.777,0.223,FALSE
"BEX1",-0.154759585324701,-0.160822810646147,0.146206997213825,-0.445706686623276,0.14326724410019,0.856621097012476,0.640371574066628,1.15403817035174,0.135833333333333,0.864166666666667,FALSE
"CLCA2",-0.152995547087031,-0.161159572520981,0.213926070203046,-0.596269790656242,0.275435224159365,0.858133542996869,0.55086264134821,1.31710378553063,0.245,0.755,FALSE
"GP2",-0.145571018494687,-0.153906596315467,0.247458356444088,-0.619169738120106,0.485567229925715,0.864528490381722,0.538391257817942,1.62509655085224,0.25025,0.74975,FALSE
"TFAP2B",0.138742000575561,0.171642447844139,0.18630036125352,-0.261753335535963,0.475066055711041,1.14882766488888,0.769700858143551,1.60812041951521,0.791333333333333,0.208666666666667,FALSE
"VSTM2A",0.138219733650153,0.134862719456145,0.173405521817779,-0.20153289000408,0.47557801602779,1.14822782684794,0.817476690306261,1.60894392413741,0.791333333333333,0.208666666666667,FALSE
"ORM1",-0.13667458820452,-0.0927434789883796,0.171896403864913,-0.522089030860947,0.163444768975768,0.872254021701709,0.593279872553832,1.17756031552901,0.1865,0.8135,FALSE
"AGR2",0.125096331651649,0.13808932880775,0.322574970152068,-0.544534289249262,0.726671050742875,1.13325761638673,0.580111884781766,2.06818425479985,0.67125,0.32875,FALSE
"S100A7",0.114911982433408,0.116903200479604,0.18185154841707,-0.225176227610613,0.479486436849137,1.12177469734744,0.798375510552809,1.61524465901187,0.710333333333333,0.289666666666667,FALSE
"PGR",-0.110990739182926,-0.127394217726967,0.268775870723097,-0.661873359982187,0.317151824375997,0.894947036831453,0.515883992257943,1.37321104300928,0.3415,0.6585,FALSE
"HOXB13",-0.109112009493559,-0.126966413127917,0.128203639006862,-0.386806350927175,0.120127249753428,0.896629980803349,0.679222613021301,1.12764033440461,0.288666666666667,0.711333333333333,FALSE
"SERPINA6",0.106785185478036,0.088365163108619,0.198028441895663,-0.234725001358866,0.48831104361122,1.11269520571596,0.790788285434009,1.62956163588816,0.65975,0.34025,FALSE
"KCNC2",-0.102863384650791,-0.13037464551039,0.134350779619027,-0.401908030596142,0.0966460421269026,0.902250226291951,0.669042274280051,1.10147043048251,0.235166666666667,0.764833333333333,FALSE
"SYT13",0.098368119926492,0.137691586689273,0.160905385389701,-0.21967828455703,0.286191135296822,1.10336888242956,0.80277702218819,1.33134689831957,0.743666666666667,0.256333333333333,FALSE
"UGT2B11",0.0914850399241246,0.0475655181268252,0.22170868136905,-0.226428815559184,0.553294946658819,1.09580038331304,0.797376101064668,1.73897341313076,0.543916666666667,0.456083333333333,FALSE
"CP",0.0840221913302098,0.0914334380287029,0.16905485210683,-0.277243390167884,0.457766341428494,1.08765303000856,0.75787001655048,1.58053965327464,0.70475,0.29525,FALSE
"DCD",-0.0782858818113855,-0.0722633081903935,0.186713788134211,-0.281790563180974,0.26697126998299,0.924700033832146,0.754431673758055,1.30600292430542,0.382333333333333,0.617666666666667,FALSE
"SLC34A2",-0.0764131336984092,-0.079537857950626,0.280850479188549,-0.599532996922493,0.279920039651779,0.926433386635571,0.54906799267205,1.32302401864661,0.39225,0.60775,FALSE
"CBLN2",0.0756747600880739,0.0724052226204289,0.141686066063432,-0.192675464428067,0.349621377728183,1.07861170952538,0.824749591291428,1.4185303597164,0.702083333333333,0.297916666666667,FALSE
"PROM1",-0.0733560321599941,-0.158628865063158,0.197736876474804,-0.394755463580895,0.410635228300094,0.929269921144944,0.67384479869731,1.50777526248921,0.276166666666667,0.723833333333333,FALSE
"DSG3",0.0707180852035608,0.0622458246881349,0.256224072412691,-0.39357097846541,0.659515037917905,1.07327861009354,0.674643430722013,1.93385426096653,0.601166666666667,0.398833333333333,FALSE
